2403
(-2.000000, 1.609719, 0.000000) (-2.000000, 1.609719, 0.000000) (0.000000, -955650304.000000) 
(-1.070001, -0.409181, 0.000000) (-1.075001, -0.409181, 0.000000) (0.000000, -523060.500000) 
(-1.075001, -0.498143, 0.000000) (-1.075001, -0.498143, 0.000000) (0.000000, -956006400.000000) 
(-1.070001, -0.409181, 0.000000) (-1.070001, -0.409181, 0.000000) (0.000000, -955650304.000000) 
(-1.065001, -0.319850, 0.000000) (-1.070001, -0.319850, 0.000000) (0.000000, -523060.500000) 
(-1.070001, -0.409181, 0.000000) (-1.070001, -0.409181, 0.000000) (0.000000, -956006400.000000) 
(-1.065001, -0.319850, 0.000000) (-1.065001, -0.319850, 0.000000) (0.000000, -955650304.000000) 
(-1.060001, -0.230234, 0.000000) (-1.065001, -0.230234, 0.000000) (0.000000, -523060.500000) 
(-1.065001, -0.319850, 0.000000) (-1.065001, -0.319850, 0.000000) (0.000000, -956006400.000000) 
(-1.060001, -0.230234, 0.000000) (-1.060001, -0.230234, 0.000000) (0.000000, -955650304.000000) 
(-1.055001, -0.140410, 0.000000) (-1.060001, -0.140410, 0.000000) (0.000000, -523060.500000) 
(-1.060001, -0.230234, 0.000000) (-1.060001, -0.230234, 0.000000) (0.000000, -956006400.000000) 
(-1.055001, -0.140410, 0.000000) (-1.055001, -0.140410, 0.000000) (0.000000, -955650304.000000) 
(-1.050001, -0.050458, 0.000000) (-1.055001, -0.050458, 0.000000) (0.000000, -523060.500000) 
(-1.055001, -0.140410, 0.000000) (-1.055001, -0.140410, 0.000000) (0.000000, -956006400.000000) 
(-1.050001, -0.050458, 0.000000) (-1.050001, -0.050458, 0.000000) (0.000000, -955650304.000000) 
(-1.045001, 0.039539, 0.000000) (-1.050001, 0.039539, 0.000000) (0.000000, -523060.500000) 
(-1.050001, -0.050458, 0.000000) (-1.050001, -0.050458, 0.000000) (0.000000, -956006400.000000) 
(-1.045001, 0.039539, 0.000000) (-1.045001, 0.039539, 0.000000) (0.000000, -955650304.000000) 
(-1.040001, 0.129499, 0.000000) (-1.045001, 0.129499, 0.000000) (0.000000, -523060.500000) 
(-1.045001, 0.039539, 0.000000) (-1.045001, 0.039539, 0.000000) (0.000000, -956006400.000000) 
(-1.040001, 0.129499, 0.000000) (-1.040001, 0.129499, 0.000000) (0.000000, -955650304.000000) 
(-1.035001, 0.219343, 0.000000) (-1.040001, 0.219343, 0.000000) (0.000000, -523060.500000) 
(-1.040001, 0.129499, 0.000000) (-1.040001, 0.129499, 0.000000) (0.000000, -956006400.000000) 
(-1.035001, 0.219343, 0.000000) (-1.035001, 0.219343, 0.000000) (0.000000, -955650304.000000) 
(-1.030001, 0.308990, 0.000000) (-1.035001, 0.308990, 0.000000) (0.000000, -523060.500000) 
(-1.035001, 0.219343, 0.000000) (-1.035001, 0.219343, 0.000000) (0.000000, -956006400.000000) 
(-1.030001, 0.308990, 0.000000) (-1.030001, 0.308990, 0.000000) (0.000000, -955650304.000000) 
(-1.025001, 0.398360, 0.000000) (-1.030001, 0.398360, 0.000000) (0.000000, -523060.500000) 
(-1.030001, 0.308990, 0.000000) (-1.030001, 0.308990, 0.000000) (0.000000, -956006400.000000) 
(-1.025001, 0.398360, 0.000000) (-1.025001, 0.398360, 0.000000) (0.000000, -955650304.000000) 
(-1.020001, 0.487369, 0.000000) (-1.025001, 0.487369, 0.000000) (0.000000, -523060.500000) 
(-1.025001, 0.398360, 0.000000) (-1.025001, 0.398360, 0.000000) (0.000000, -956006400.000000) 
(-1.020001, 0.487369, 0.000000) (-1.020001, 0.487369, 0.000000) (0.000000, -955650304.000000) 
(-1.015001, 0.575940, 0.000000) (-1.020001, 0.575940, 0.000000) (0.000000, -523060.500000) 
(-1.020001, 0.487369, 0.000000) (-1.020001, 0.487369, 0.000000) (0.000000, -956006400.000000) 
(-1.015001, 0.575940, 0.000000) (-1.015001, 0.575940, 0.000000) (0.000000, -955650304.000000) 
(-1.010001, 0.663995, 0.000000) (-1.015001, 0.663995, 0.000000) (0.000000, -523060.500000) 
(-1.015001, 0.575940, 0.000000) (-1.015001, 0.575940, 0.000000) (0.000000, -956006400.000000) 
(-1.010001, 0.663995, 0.000000) (-1.010001, 0.663995, 0.000000) (0.000000, -955650304.000000) 
(-1.005001, 0.751451, 0.000000) (-1.010001, 0.751451, 0.000000) (0.000000, -523060.500000) 
(-1.010001, 0.663995, 0.000000) (-1.010001, 0.663995, 0.000000) (0.000000, -956006400.000000) 
(-1.005001, 0.751451, 0.000000) (-1.005001, 0.751451, 0.000000) (0.000000, -955650304.000000) 
(-1.000001, 0.838230, 0.000000) (-1.005001, 0.838230, 0.000000) (0.000000, -523060.500000) 
(-1.005001, 0.751451, 0.000000) (-1.005001, 0.751451, 0.000000) (0.000000, -956006400.000000) 
(-1.000001, 0.838230, 0.000000) (-1.000001, 0.838230, 0.000000) (0.000000, -955650304.000000) 
(-0.995001, 0.924255, 0.000000) (-1.000001, 0.924255, 0.000000) (0.000000, -523060.500000) 
(-1.000001, 0.838230, 0.000000) (-1.000001, 0.838230, 0.000000) (0.000000, -956006400.000000) 
(-0.995001, 0.924255, 0.000000) (-0.995001, 0.924255, 0.000000) (0.000000, -955650304.000000) 
(-0.990001, 1.009449, 0.000000) (-0.995001, 1.009449, 0.000000) (0.000000, -523060.500000) 
(-0.995001, 0.924255, 0.000000) (-0.995001, 0.924255, 0.000000) (0.000000, -956006400.000000) 
(-0.990001, 1.009449, 0.000000) (-0.990001, 1.009449, 0.000000) (0.000000, -955650304.000000) 
(-0.985001, 1.093735, 0.000000) (-0.990001, 1.093735, 0.000000) (0.000000, -523060.500000) 
(-0.990001, 1.009449, 0.000000) (-0.990001, 1.009449, 0.000000) (0.000000, -956006400.000000) 
(-0.985001, 1.093735, 0.000000) (-0.985001, 1.093735, 0.000000) (0.000000, -955650304.000000) 
(-0.980001, 1.177035, 0.000000) (-0.985001, 1.177035, 0.000000) (0.000000, -523060.500000) 
(-0.985001, 1.093735, 0.000000) (-0.985001, 1.093735, 0.000000) (0.000000, -956006400.000000) 
(-0.980001, 1.177035, 0.000000) (-0.980001, 1.177035, 0.000000) (0.000000, -955650304.000000) 
(-0.975001, 1.259275, 0.000000) (-0.980001, 1.259275, 0.000000) (0.000000, -523060.500000) 
(-0.980001, 1.177035, 0.000000) (-0.980001, 1.177035, 0.000000) (0.000000, -956006400.000000) 
(-0.975001, 1.259275, 0.000000) (-0.975001, 1.259275, 0.000000) (0.000000, -955650304.000000) 
(-0.970001, 1.340384, 0.000000) (-0.975001, 1.340384, 0.000000) (0.000000, -523060.500000) 
(-0.975001, 1.259275, 0.000000) (-0.975001, 1.259275, 0.000000) (0.000000, -956006400.000000) 
(-0.970001, 1.340384, 0.000000) (-0.970001, 1.340384, 0.000000) (0.000000, -955650304.000000) 
(-0.965001, 1.420287, 0.000000) (-0.970001, 1.420287, 0.000000) (0.000000, -523060.500000) 
(-0.970001, 1.340384, 0.000000) (-0.970001, 1.340384, 0.000000) (0.000000, -956006400.000000) 
(-0.965001, 1.420287, 0.000000) (-0.965001, 1.420287, 0.000000) (0.000000, -955650304.000000) 
(-0.960001, 1.498910, 0.000000) (-0.965001, 1.498910, 0.000000) (0.000000, -523060.500000) 
(-0.965001, 1.420287, 0.000000) (-0.965001, 1.420287, 0.000000) (0.000000, -956006400.000000) 
(-0.960001, 1.498910, 0.000000) (-0.960001, 1.498910, 0.000000) (0.000000, -955650304.000000) 
(-0.955001, 1.576185, 0.000000) (-0.960001, 1.576185, 0.000000) (0.000000, -523060.500000) 
(-0.960001, 1.498910, 0.000000) (-0.960001, 1.498910, 0.000000) (0.000000, -956006400.000000) 
(-0.955001, 1.576185, 0.000000) (-0.955001, 1.576185, 0.000000) (0.000000, -955650304.000000) 
(-0.950001, 1.652042, 0.000000) (-0.955001, 1.652042, 0.000000) (0.000000, -523060.500000) 
(-0.955001, 1.576185, 0.000000) (-0.955001, 1.576185, 0.000000) (0.000000, -956006400.000000) 
(-0.950001, 1.652042, 0.000000) (-0.950001, 1.652042, 0.000000) (0.000000, -955650304.000000) 
(-0.945001, 1.726412, 0.000000) (-0.950001, 1.726412, 0.000000) (0.000000, -523060.500000) 
(-0.950001, 1.652042, 0.000000) (-0.950001, 1.652042, 0.000000) (0.000000, -956006400.000000) 
(-0.945001, 1.726412, 0.000000) (-0.945001, 1.726412, 0.000000) (0.000000, -955650304.000000) 
(-0.940001, 1.799227, 0.000000) (-0.945001, 1.799227, 0.000000) (0.000000, -523060.500000) 
(-0.945001, 1.726412, 0.000000) (-0.945001, 1.726412, 0.000000) (0.000000, -956006400.000000) 
(-0.940001, 1.799227, 0.000000) (-0.940001, 1.799227, 0.000000) (0.000000, -955650304.000000) 
(-0.935001, 1.870424, 0.000000) (-0.940001, 1.870424, 0.000000) (0.000000, -523060.500000) 
(-0.940001, 1.799227, 0.000000) (-0.940001, 1.799227, 0.000000) (0.000000, -956006400.000000) 
(-0.935001, 1.870424, 0.000000) (-0.935001, 1.870424, 0.000000) (0.000000, -955650304.000000) 
(-0.930001, 1.939938, 0.000000) (-0.935001, 1.939938, 0.000000) (0.000000, -523060.500000) 
(-0.935001, 1.870424, 0.000000) (-0.935001, 1.870424, 0.000000) (0.000000, -956006400.000000) 
(-0.930001, 1.939938, 0.000000) (-0.930001, 1.939938, 0.000000) (0.000000, -955650304.000000) 
(-0.925001, 2.007706, 0.000000) (-0.930001, 2.007706, 0.000000) (0.000000, -523060.500000) 
(-0.930001, 1.939938, 0.000000) (-0.930001, 1.939938, 0.000000) (0.000000, -956006400.000000) 
(-0.925001, 2.007706, 0.000000) (-0.925001, 2.007706, 0.000000) (0.000000, -955650304.000000) 
(-0.920001, 2.073667, 0.000000) (-0.925001, 2.073667, 0.000000) (0.000000, -523060.500000) 
(-0.925001, 2.007706, 0.000000) (-0.925001, 2.007706, 0.000000) (0.000000, -956006400.000000) 
(-0.920001, 2.073667, 0.000000) (-0.920001, 2.073667, 0.000000) (0.000000, -955650304.000000) 
(-0.915001, 2.137761, 0.000000) (-0.920001, 2.137761, 0.000000) (0.000000, -523060.500000) 
(-0.920001, 2.073667, 0.000000) (-0.920001, 2.073667, 0.000000) (0.000000, -956006400.000000) 
(-0.915001, 2.137761, 0.000000) (-0.915001, 2.137761, 0.000000) (0.000000, -955650304.000000) 
(-0.910001, 2.199933, 0.000000) (-0.915001, 2.199933, 0.000000) (0.000000, -523060.500000) 
(-0.915001, 2.137761, 0.000000) (-0.915001, 2.137761, 0.000000) (0.000000, -956006400.000000) 
(-0.910001, 2.199933, 0.000000) (-0.910001, 2.199933, 0.000000) (0.000000, -955650304.000000) 
(-0.905001, 2.260125, 0.000000) (-0.910001, 2.260125, 0.000000) (0.000000, -523060.500000) 
(-0.910001, 2.199933, 0.000000) (-0.910001, 2.199933, 0.000000) (0.000000, -956006400.000000) 
(-0.905001, 2.260125, 0.000000) (-0.905001, 2.260125, 0.000000) (0.000000, -955650304.000000) 
(-0.900001, 2.318282, 0.000000) (-0.905001, 2.318282, 0.000000) (0.000000, -523060.500000) 
(-0.905001, 2.260125, 0.000000) (-0.905001, 2.260125, 0.000000) (0.000000, -956006400.000000) 
(-0.900001, 2.318282, 0.000000) (-0.900001, 2.318282, 0.000000) (0.000000, -955650304.000000) 
(-0.895001, 2.374352, 0.000000) (-0.900001, 2.374352, 0.000000) (0.000000, -523060.500000) 
(-0.900001, 2.318282, 0.000000) (-0.900001, 2.318282, 0.000000) (0.000000, -956006400.000000) 
(-0.895001, 2.374352, 0.000000) (-0.895001, 2.374352, 0.000000) (0.000000, -955650304.000000) 
(-0.890001, 2.428287, 0.000000) (-0.895001, 2.428287, 0.000000) (0.000000, -523060.500000) 
(-0.895001, 2.374352, 0.000000) (-0.895001, 2.374352, 0.000000) (0.000000, -956006400.000000) 
(-0.890001, 2.428287, 0.000000) (-0.890001, 2.428287, 0.000000) (0.000000, -955650304.000000) 
(-0.885001, 2.480036, 0.000000) (-0.890001, 2.480036, 0.000000) (0.000000, -523060.500000) 
(-0.890001, 2.428287, 0.000000) (-0.890001, 2.428287, 0.000000) (0.000000, -956006400.000000) 
(-0.885001, 2.480036, 0.000000) (-0.885001, 2.480036, 0.000000) (0.000000, -955650304.000000) 
(-0.880001, 2.529553, 0.000000) (-0.885001, 2.529553, 0.000000) (0.000000, -523060.500000) 
(-0.885001, 2.480036, 0.000000) (-0.885001, 2.480036, 0.000000) (0.000000, -956006400.000000) 
(-0.880001, 2.529553, 0.000000) (-0.880001, 2.529553, 0.000000) (0.000000, -955650304.000000) 
(-0.875001, 2.576793, 0.000000) (-0.880001, 2.576793, 0.000000) (0.000000, -523060.500000) 
(-0.880001, 2.529553, 0.000000) (-0.880001, 2.529553, 0.000000) (0.000000, -956006400.000000) 
(-0.875001, 2.576793, 0.000000) (-0.875001, 2.576793, 0.000000) (0.000000, -955650304.000000) 
(-0.870001, 2.621715, 0.000000) (-0.875001, 2.621715, 0.000000) (0.000000, -523060.500000) 
(-0.875001, 2.576793, 0.000000) (-0.875001, 2.576793, 0.000000) (0.000000, -956006400.000000) 
(-0.870001, 2.621715, 0.000000) (-0.870001, 2.621715, 0.000000) (0.000000, -955650304.000000) 
(-0.865001, 2.664278, 0.000000) (-0.870001, 2.664278, 0.000000) (0.000000, -523060.500000) 
(-0.870001, 2.621715, 0.000000) (-0.870001, 2.621715, 0.000000) (0.000000, -956006400.000000) 
(-0.865001, 2.664278, 0.000000) (-0.865001, 2.664278, 0.000000) (0.000000, -955650304.000000) 
(-0.860001, 2.704443, 0.000000) (-0.865001, 2.704443, 0.000000) (0.000000, -523060.500000) 
(-0.865001, 2.664278, 0.000000) (-0.865001, 2.664278, 0.000000) (0.000000, -956006400.000000) 
(-0.860001, 2.704443, 0.000000) (-0.860001, 2.704443, 0.000000) (0.000000, -955650304.000000) 
(-0.855001, 2.742173, 0.000000) (-0.860001, 2.742173, 0.000000) (0.000000, -523060.500000) 
(-0.860001, 2.704443, 0.000000) (-0.860001, 2.704443, 0.000000) (0.000000, -956006400.000000) 
(-0.855001, 2.742173, 0.000000) (-0.855001, 2.742173, 0.000000) (0.000000, -955650304.000000) 
(-0.850001, 2.777436, 0.000000) (-0.855001, 2.777436, 0.000000) (0.000000, -523060.500000) 
(-0.855001, 2.742173, 0.000000) (-0.855001, 2.742173, 0.000000) (0.000000, -956006400.000000) 
(-0.850001, 2.777436, 0.000000) (-0.850001, 2.777436, 0.000000) (0.000000, -955650304.000000) 
(-0.845001, 2.810200, 0.000000) (-0.850001, 2.810200, 0.000000) (0.000000, -523060.500000) 
(-0.850001, 2.777436, 0.000000) (-0.850001, 2.777436, 0.000000) (0.000000, -956006400.000000) 
(-0.845001, 2.810200, 0.000000) (-0.845001, 2.810200, 0.000000) (0.000000, -955650304.000000) 
(-0.840001, 2.840435, 0.000000) (-0.845001, 2.840435, 0.000000) (0.000000, -523060.500000) 
(-0.845001, 2.810200, 0.000000) (-0.845001, 2.810200, 0.000000) (0.000000, -956006400.000000) 
(-0.840001, 2.840435, 0.000000) (-0.840001, 2.840435, 0.000000) (0.000000, -955650304.000000) 
(-0.835001, 2.868113, 0.000000) (-0.840001, 2.868113, 0.000000) (0.000000, -523060.500000) 
(-0.840001, 2.840435, 0.000000) (-0.840001, 2.840435, 0.000000) (0.000000, -956006400.000000) 
(-0.835001, 2.868113, 0.000000) (-0.835001, 2.868113, 0.000000) (0.000000, -955650304.000000) 
(-0.830001, 2.893211, 0.000000) (-0.835001, 2.893211, 0.000000) (0.000000, -523060.500000) 
(-0.835001, 2.868113, 0.000000) (-0.835001, 2.868113, 0.000000) (0.000000, -956006400.000000) 
(-0.830001, 2.893211, 0.000000) (-0.830001, 2.893211, 0.000000) (0.000000, -955650304.000000) 
(-0.825001, 2.915705, 0.000000) (-0.830001, 2.915705, 0.000000) (0.000000, -523060.500000) 
(-0.830001, 2.893211, 0.000000) (-0.830001, 2.893211, 0.000000) (0.000000, -956006400.000000) 
(-0.825001, 2.915705, 0.000000) (-0.825001, 2.915705, 0.000000) (0.000000, -955650304.000000) 
(-0.820001, 2.935574, 0.000000) (-0.825001, 2.935574, 0.000000) (0.000000, -523060.500000) 
(-0.825001, 2.915705, 0.000000) (-0.825001, 2.915705, 0.000000) (0.000000, -956006400.000000) 
(-0.820001, 2.935574, 0.000000) (-0.820001, 2.935574, 0.000000) (0.000000, -955650304.000000) 
(-0.815001, 2.952802, 0.000000) (-0.820001, 2.952802, 0.000000) (0.000000, -523060.500000) 
(-0.820001, 2.935574, 0.000000) (-0.820001, 2.935574, 0.000000) (0.000000, -956006400.000000) 
(-0.815001, 2.952802, 0.000000) (-0.815001, 2.952802, 0.000000) (0.000000, -955650304.000000) 
(-0.810001, 2.967373, 0.000000) (-0.815001, 2.967373, 0.000000) (0.000000, -523060.500000) 
(-0.815001, 2.952802, 0.000000) (-0.815001, 2.952802, 0.000000) (0.000000, -956006400.000000) 
(-0.810001, 2.967373, 0.000000) (-0.810001, 2.967373, 0.000000) (0.000000, -955650304.000000) 
(-0.805001, 2.979273, 0.000000) (-0.810001, 2.979273, 0.000000) (0.000000, -523060.500000) 
(-0.810001, 2.967373, 0.000000) (-0.810001, 2.967373, 0.000000) (0.000000, -956006400.000000) 
(-0.805001, 2.979273, 0.000000) (-0.805001, 2.979273, 0.000000) (0.000000, -955650304.000000) 
(-0.800001, 2.988492, 0.000000) (-0.805001, 2.988492, 0.000000) (0.000000, -523060.500000) 
(-0.805001, 2.979273, 0.000000) (-0.805001, 2.979273, 0.000000) (0.000000, -956006400.000000) 
(-0.800001, 2.988492, 0.000000) (-0.800001, 2.988492, 0.000000) (0.000000, -955650304.000000) 
(-0.795001, 2.995022, 0.000000) (-0.800001, 2.995022, 0.000000) (0.000000, -523060.500000) 
(-0.800001, 2.988492, 0.000000) (-0.800001, 2.988492, 0.000000) (0.000000, -956006400.000000) 
(-0.795001, 2.995022, 0.000000) (-0.795001, 2.995022, 0.000000) (0.000000, -955650304.000000) 
(-0.790001, 2.998856, 0.000000) (-0.795001, 2.998856, 0.000000) (0.000000, -523060.500000) 
(-0.795001, 2.995022, 0.000000) (-0.795001, 2.995022, 0.000000) (0.000000, -956006400.000000) 
(-0.790001, 2.998856, 0.000000) (-0.790001, 2.998856, 0.000000) (0.000000, -955650304.000000) 
(-0.785001, 2.999991, 0.000000) (-0.790001, 2.999991, 0.000000) (0.000000, -523060.500000) 
(-0.790001, 2.998856, 0.000000) (-0.790001, 2.998856, 0.000000) (0.000000, -956006400.000000) 
(-0.785001, 2.999991, 0.000000) (-0.785001, 2.999991, 0.000000) (0.000000, -955650304.000000) 
(-0.780001, 2.998427, 0.000000) (-0.785001, 2.998427, 0.000000) (0.000000, -523060.500000) 
(-0.785001, 2.999991, 0.000000) (-0.785001, 2.999991, 0.000000) (0.000000, -956006400.000000) 
(-0.780001, 2.998427, 0.000000) (-0.780001, 2.998427, 0.000000) (0.000000, -955650304.000000) 
(-0.775001, 2.994164, 0.000000) (-0.780001, 2.994164, 0.000000) (0.000000, -523060.500000) 
(-0.780001, 2.998427, 0.000000) (-0.780001, 2.998427, 0.000000) (0.000000, -956006400.000000) 
(-0.775001, 2.994164, 0.000000) (-0.775001, 2.994164, 0.000000) (0.000000, -955650304.000000) 
(-0.770001, 2.987207, 0.000000) (-0.775001, 2.987207, 0.000000) (0.000000, -523060.500000) 
(-0.775001, 2.994164, 0.000000) (-0.775001, 2.994164, 0.000000) (0.000000, -956006400.000000) 
(-0.770001, 2.987207, 0.000000) (-0.770001, 2.987207, 0.000000) (0.000000, -955650304.000000) 
(-0.765001, 2.977562, 0.000000) (-0.770001, 2.977562, 0.000000) (0.000000, -523060.500000) 
(-0.770001, 2.987207, 0.000000) (-0.770001, 2.987207, 0.000000) (0.000000, -956006400.000000) 
(-0.765001, 2.977562, 0.000000) (-0.765001, 2.977562, 0.000000) (0.000000, -955650304.000000) 
(-0.760001, 2.965237, 0.000000) (-0.765001, 2.965237, 0.000000) (0.000000, -523060.500000) 
(-0.765001, 2.977562, 0.000000) (-0.765001, 2.977562, 0.000000) (0.000000, -956006400.000000) 
(-0.760001, 2.965237, 0.000000) (-0.760001, 2.965237, 0.000000) (0.000000, -955650304.000000) 
(-0.755001, 2.950243, 0.000000) (-0.760001, 2.950243, 0.000000) (0.000000, -523060.500000) 
(-0.760001, 2.965237, 0.000000) (-0.760001, 2.965237, 0.000000) (0.000000, -956006400.000000) 
(-0.755001, 2.950243, 0.000000) (-0.755001, 2.950243, 0.000000) (0.000000, -955650304.000000) 
(-0.750001, 2.932595, 0.000000) (-0.755001, 2.932595, 0.000000) (0.000000, -523060.500000) 
(-0.755001, 2.950243, 0.000000) (-0.755001, 2.950243, 0.000000) (0.000000, -956006400.000000) 
(-0.750001, 2.932595, 0.000000) (-0.750001, 2.932595, 0.000000) (0.000000, -955650304.000000) 
(-0.745001, 2.912307, 0.000000) (-0.750001, 2.912307, 0.000000) (0.000000, -523060.500000) 
(-0.750001, 2.932595, 0.000000) (-0.750001, 2.932595, 0.000000) (0.000000, -956006400.000000) 
(-0.745001, 2.912307, 0.000000) (-0.745001, 2.912307, 0.000000) (0.000000, -955650304.000000) 
(-0.740001, 2.889399, 0.000000) (-0.745001, 2.889399, 0.000000) (0.000000, -523060.500000) 
(-0.745001, 2.912307, 0.000000) (-0.745001, 2.912307, 0.000000) (0.000000, -956006400.000000) 
(-0.740001, 2.889399, 0.000000) (-0.740001, 2.889399, 0.000000) (0.000000, -955650304.000000) 
(-0.735001, 2.863890, 0.000000) (-0.740001, 2.863890, 0.000000) (0.000000, -523060.500000) 
(-0.740001, 2.889399, 0.000000) (-0.740001, 2.889399, 0.000000) (0.000000, -956006400.000000) 
(-0.735001, 2.863890, 0.000000) (-0.735001, 2.863890, 0.000000) (0.000000, -955650304.000000) 
(-0.730001, 2.835804, 0.000000) (-0.735001, 2.835804, 0.000000) (0.000000, -523060.500000) 
(-0.735001, 2.863890, 0.000000) (-0.735001, 2.863890, 0.000000) (0.000000, -956006400.000000) 
(-0.730001, 2.835804, 0.000000) (-0.730001, 2.835804, 0.000000) (0.000000, -955650304.000000) 
(-0.725001, 2.805165, 0.000000) (-0.730001, 2.805165, 0.000000) (0.000000, -523060.500000) 
(-0.730001, 2.835804, 0.000000) (-0.730001, 2.835804, 0.000000) (0.000000, -956006400.000000) 
(-0.725001, 2.805165, 0.000000) (-0.725001, 2.805165, 0.000000) (0.000000, -955650304.000000) 
(-0.720001, 2.772003, 0.000000) (-0.725001, 2.772003, 0.000000) (0.000000, -523060.500000) 
(-0.725001, 2.805165, 0.000000) (-0.725001, 2.805165, 0.000000) (0.000000, -956006400.000000) 
(-0.720001, 2.772003, 0.000000) (-0.720001, 2.772003, 0.000000) (0.000000, -955650304.000000) 
(-0.715001, 2.736346, 0.000000) (-0.720001, 2.736346, 0.000000) (0.000000, -523060.500000) 
(-0.720001, 2.772003, 0.000000) (-0.720001, 2.772003, 0.000000) (0.000000, -956006400.000000) 
(-0.715001, 2.736346, 0.000000) (-0.715001, 2.736346, 0.000000) (0.000000, -955650304.000000) 
(-0.710001, 2.698226, 0.000000) (-0.715001, 2.698226, 0.000000) (0.000000, -523060.500000) 
(-0.715001, 2.736346, 0.000000) (-0.715001, 2.736346, 0.000000) (0.000000, -956006400.000000) 
(-0.710001, 2.698226, 0.000000) (-0.710001, 2.698226, 0.000000) (0.000000, -955650304.000000) 
(-0.705001, 2.657678, 0.000000) (-0.710001, 2.657678, 0.000000) (0.000000, -523060.500000) 
(-0.710001, 2.698226, 0.000000) (-0.710001, 2.698226, 0.000000) (0.000000, -956006400.000000) 
(-0.705001, 2.657678, 0.000000) (-0.705001, 2.657678, 0.000000) (0.000000, -955650304.000000) 
(-0.700001, 2.614738, 0.000000) (-0.705001, 2.614738, 0.000000) (0.000000, -523060.500000) 
(-0.705001, 2.657678, 0.000000) (-0.705001, 2.657678, 0.000000) (0.000000, -956006400.000000) 
(-0.700001, 2.614738, 0.000000) (-0.700001, 2.614738, 0.000000) (0.000000, -955650304.000000) 
(-0.695001, 2.569446, 0.000000) (-0.700001, 2.569446, 0.000000) (0.000000, -523060.500000) 
(-0.700001, 2.614738, 0.000000) (-0.700001, 2.614738, 0.000000) (0.000000, -956006400.000000) 
(-0.695001, 2.569446, 0.000000) (-0.695001, 2.569446, 0.000000) (0.000000, -955650304.000000) 
(-0.690001, 2.521841, 0.000000) (-0.695001, 2.521841, 0.000000) (0.000000, -523060.500000) 
(-0.695001, 2.569446, 0.000000) (-0.695001, 2.569446, 0.000000) (0.000000, -956006400.000000) 
(-0.690001, 2.521841, 0.000000) (-0.690001, 2.521841, 0.000000) (0.000000, -955650304.000000) 
(-0.685001, 2.471966, 0.000000) (-0.690001, 2.471966, 0.000000) (0.000000, -523060.500000) 
(-0.690001, 2.521841, 0.000000) (-0.690001, 2.521841, 0.000000) (0.000000, -956006400.000000) 
(-0.685001, 2.471966, 0.000000) (-0.685001, 2.471966, 0.000000) (0.000000, -955650304.000000) 
(-0.680001, 2.419867, 0.000000) (-0.685001, 2.419867, 0.000000) (0.000000, -523060.500000) 
(-0.685001, 2.471966, 0.000000) (-0.685001, 2.471966, 0.000000) (0.000000, -956006400.000000) 
(-0.680001, 2.419867, 0.000000) (-0.680001, 2.419867, 0.000000) (0.000000, -955650304.000000) 
(-0.675001, 2.365590, 0.000000) (-0.680001, 2.365590, 0.000000) (0.000000, -523060.500000) 
(-0.680001, 2.419867, 0.000000) (-0.680001, 2.419867, 0.000000) (0.000000, -956006400.000000) 
(-0.675001, 2.365590, 0.000000) (-0.675001, 2.365590, 0.000000) (0.000000, -955650304.000000) 
(-0.670001, 2.309184, 0.000000) (-0.675001, 2.309184, 0.000000) (0.000000, -523060.500000) 
(-0.675001, 2.365590, 0.000000) (-0.675001, 2.365590, 0.000000) (0.000000, -956006400.000000) 
(-0.670001, 2.309184, 0.000000) (-0.670001, 2.309184, 0.000000) (0.000000, -955650304.000000) 
(-0.665001, 2.250700, 0.000000) (-0.670001, 2.250700, 0.000000) (0.000000, -523060.500000) 
(-0.670001, 2.309184, 0.000000) (-0.670001, 2.309184, 0.000000) (0.000000, -956006400.000000) 
(-0.665001, 2.250700, 0.000000) (-0.665001, 2.250700, 0.000000) (0.000000, -955650304.000000) 
(-0.660001, 2.190191, 0.000000) (-0.665001, 2.190191, 0.000000) (0.000000, -523060.500000) 
(-0.665001, 2.250700, 0.000000) (-0.665001, 2.250700, 0.000000) (0.000000, -956006400.000000) 
(-0.660001, 2.190191, 0.000000) (-0.660001, 2.190191, 0.000000) (0.000000, -955650304.000000) 
(-0.655001, 2.127710, 0.000000) (-0.660001, 2.127710, 0.000000) (0.000000, -523060.500000) 
(-0.660001, 2.190191, 0.000000) (-0.660001, 2.190191, 0.000000) (0.000000, -956006400.000000) 
(-0.655001, 2.127710, 0.000000) (-0.655001, 2.127710, 0.000000) (0.000000, -955650304.000000) 
(-0.650001, 2.063315, 0.000000) (-0.655001, 2.063315, 0.000000) (0.000000, -523060.500000) 
(-0.655001, 2.127710, 0.000000) (-0.655001, 2.127710, 0.000000) (0.000000, -956006400.000000) 
(-0.650001, 2.063315, 0.000000) (-0.650001, 2.063315, 0.000000) (0.000000, -955650304.000000) 
(-0.645001, 1.997063, 0.000000) (-0.650001, 1.997063, 0.000000) (0.000000, -523060.500000) 
(-0.650001, 2.063315, 0.000000) (-0.650001, 2.063315, 0.000000) (0.000000, -956006400.000000) 
(-0.645001, 1.997063, 0.000000) (-0.645001, 1.997063, 0.000000) (0.000000, -955650304.000000) 
(-0.640001, 1.929014, 0.000000) (-0.645001, 1.929014, 0.000000) (0.000000, -523060.500000) 
